,ID,City,Restaurant,Average Cost for two,Aggregate rating,Votes,Cuisine,Address,Price Range
0,211,Bangalore,Tandoor Hut,600.0,4.4,100,"Biryani,Chinese,North Indian,South Indian","5Th Block, Koramangala, Bangalore",1
1,221,Bangalore,Tunday Kababi,600.0,4.1,100,"Mughlai,Lucknowi","5Th Block, Koramangala, Bangalore",1
2,246,Bangalore,Kim Lee,1300.0,4.4,100,Chinese,"Double Road, Jogupalya, Bangalore",2
3,248,Bangalore,New Punjabi Hotel,500.0,3.9,500,"North Indian,Punjabi,Tandoor,Chinese","80 Feet Road, Indiranagar, Bangalore",1
4,249,Bangalore,Nh8,700.0,4.0,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat","80 Feet Road, Indiranagar, Bangalore",1
5,254,Bangalore,Treat,1600.0,4.5,100,"Mughlai,North Indian","100 Feet Road, Indiranagar, Bangalore",2
6,258,Bangalore,Chinita Real Mexican Food,2000.0,4.5,500,"Mexican,Beverages,Salads","Double Road, Indiranagar, Bangalore",3
7,263,Bangalore,Cupcake Noggins - Cakespastries And Desserts,300.0,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks","4Th Block, Koramangala, Bangalore",1
8,267,Bangalore,Tea Brew,700.0,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food","Double Road, Domlur, Bangalore",1
9,308,Bangalore,Bangaliana,600.0,4.0,500,Bengali,"7Th Block, Koramangala, Bangalore",1
10,435,Bangalore,Bamey'S Restro Cafe,800.0,4.4,100,"Chinese,Thai,Nepalese","5Th Block, Koramangala, Bangalore",1
11,446,Bangalore,Altaf'S Chillies Restaurants,500.0,4.3,500,"North Indian,Chinese","Cooke Town, Cooke Town, Bangalore",1
12,453,Bangalore,Chichabas Taj,1064.0,4.2,100,"Mughlai,North Indian,Biryani","Mm Road, Pulikeshi Nagar, Bangalore",2
13,464,Bangalore,Urban Solace,1000.0,2.9,80,"American,Continental","Ulsoor Lake, Sivanchetti Gardens, Bangalore",2
14,504,Bangalore,Kaati Zone Rolls & Wraps,300.0,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food","Domlur Layout, Kodihalli, Bangalore",1
15,604,Bangalore,Aalishan Restaurant & Caterer,580.0,4.3,100,"Mughlai,North Indian","7Th Block, Koramangala, Bangalore",1
16,608,Bangalore,Kerala Pavilion,600.0,4.1,100,"Kerala,Seafood","Domlur Layout, Domlur, Bangalore",1
17,621,Bangalore,Kitchen Of Joy,500.0,4.4,100,"Bengali,Fast Food,Chinese","Domlur, Indiranagar, Bangalore",1
18,1050,Bangalore,Nagarjuna Chimney,1600.0,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages","3Rd Block, Jayanagar, Bangalore",2
19,1299,Hyderabad,So. The Sky Kitchen,1600.0,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian","Near Apollo Health City Gate, Film Nagar, Hyderabad",2
20,1304,Bangalore,Esplanade,2400.0,4.3,100,"Mughlai,Bengali","I Indirangar, Indiranagar, Bangalore",3
21,1457,Bangalore,Hotel New Karavali,500.0,3.8,100,"North Indian,Chinese,South Indian","Bsk 1St Stage, Banashankari, Bangalore",1
22,1547,Hyderabad,Dine Hill,800.0,4.1,500,"Arabian,Biryani,North Indian,Chinese","Ahmed Nagar, Masab Tank, Hyderabad",1
23,1590,Hyderabad,Sarvi Restaurant,800.0,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai","Road 11, Banjara Hills, Hyderabad",1
24,1593,Hyderabad,Sarvi Bakery,500.0,4.1,100,"Desserts,Fast Food,Bakery","Opposite Care Hospital Road 11 Banjara Hills, Banjara Hills, Hyderabad",1
25,1609,Mumbai,Kung Fu Panda,1200.0,4.3,100,Chinese  Thai  Asian,"Marol, Andheri East, Mumbai",2
26,1617,Mumbai,Kosho,600.0,4.2,100,"Mughlai,North Indian,Chinese,Seafood,Italian","Chandivali, Powai, Mumbai",1
27,1844,Hyderabad,Chinese Pavilion,1700.0,4.3,500,"Chinese,Seafood","Nagarjuna Circle, Punjagutta, Hyderabad",2
28,1848,Hyderabad,Chef Inam'S Steak House,2400.0,4.2,100,"Steakhouse,American","Sri Ram Nagar Colony Banjara Hills, Banjara Hills, Hyderabad",3
29,1874,Bangalore,Mamagoto,1800.0,4.2,100,"Chinese,Asian,Pan-Asian,Thai,Oriental","Mamagoto, Indiranagar, Bangalore",2
30,1884,Mumbai,Hakka Express,600.0,4.0,100,"Chinese,Asian,Thai","Narayan Plaza, Powai, Mumbai",1
31,2008,Bangalore,The Brekkie Shop - All Day Menu,400.0,4.3,500,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts","1St Stage, Indiranagar, Bangalore",1
